ApplStandard,Brand,Cap,Combination,Control,Country,Depth,Height,Model No,Family Name,N-Standard,Labelled energy consumption (kWh/year),New SRI,New Star,Prog Name,Prog Time,Sold_in,SubmitStatus,Submit_ID,Test_Moist_Remove,Tot_Wat_Cons,Registration Number,Type,Width,Record ID,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Star Rating (old),Star Image Large,Star Image Small
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,Kogan,4.5,No,Autosensing,China,-,-,KAJDRYVT45C,KAJDRYVT45*,AS/NZS 2442.1:1996/Amdt 4:2006,197,2.1762665566476347,2.0,IHS,209.0,"Australia,Fiji,New Zealand",Approved,138390,3.55,-,ACD0552,Vented,-,138390,2026-05-24,,Single product class,Available,,http://www.kogan.com/au/,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,Kogan,4.5,No,Autosensing,China,-,-,KAJDRYVT45*,KAJDRYVT45*,AS/NZS 2442.1:1996/Amdt 4:2006,197,2.1762665566476347,2.0,IHS,209.0,"Australia,Fiji,New Zealand",Approved,138390,3.55,-,ACD0552,Vented,-,138390,2026-05-24,,Single product class,Available,,http://www.kogan.com/au/,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,Kogan,8,No,Autosensing,China,-,-,KAJDRYVT80A,KAJDRYVT80*,AS/NZS 2442.1:1996/Amdt 4:2006,326,2.6172643683876133,2.5,Auto-sensing Dry,225.0,"Australia,Fiji,New Zealand",Approved,138560,6.298,-,ACD0553,Vented,-,138560,2026-05-25,,Single product class,Available,,http://www.kogan.com/au/,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,Kogan,8,No,Autosensing,China,-,-,KAJDRYVT80B,KAJDRYVT80*,AS/NZS 2442.1:1996/Amdt 4:2006,326,2.6172643683876133,2.5,Auto-sensing Dry,225.0,"Australia,Fiji,New Zealand",Approved,138560,6.298,-,ACD0553,Vented,-,138560,2026-05-25,,Single product class,Available,,http://www.kogan.com/au/,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,Kogan,8,No,Autosensing,China,-,-,KAJDRYVT80C,KAJDRYVT80*,AS/NZS 2442.1:1996/Amdt 4:2006,326,2.6172643683876133,2.5,Auto-sensing Dry,225.0,"Australia,Fiji,New Zealand",Approved,138560,6.298,-,ACD0553,Vented,-,138560,2026-05-25,,Single product class,Available,,http://www.kogan.com/au/,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,Kogan,8,No,Autosensing,China,-,-,KAJDRYVT80*,KAJDRYVT80*,AS/NZS 2442.1:1996/Amdt 4:2006,326,2.6172643683876133,2.5,Auto-sensing Dry,225.0,"Australia,Fiji,New Zealand",Approved,138560,6.298,-,ACD0553,Vented,-,138560,2026-05-25,,Single product class,Available,,http://www.kogan.com/au/,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,ELECTROLUX,4.5,Yes,Autosensing,Thailand,-,-,EWW8024Q5WB,,AS/NZS 2442.1:1996/Amdt 4:2006,186,2.5298072500446693,2.5,"Cottons, Mode Dry, Dryness level Extra",256.0,"Australia,Fiji,New Zealand",Approved,139106,3.582,45.8,ACD0559,Condenser,-,139106,2026-06-25,,Single product class,Available,,http://www.electrolux.com.au,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,HISENSE,8,No,Autosensing,China,625.0,850.0,HDGA80H,,AS/NZS 2442.1:1996/Amdt 4:2006,135,8.042002309086076,8.0,Cotton Storage,270.0,"Australia,New Zealand",Approved,139285,6.303,0.0,ACD0558,Condenser,600.0,139285,2026-06-23,,Single product class,Available,,,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_8_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-8.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,HISENSE,9,No,Autosensing,Slovenia,610.0,850.0,HDGA90H,,AS/NZS 2442.1:1996/Amdt 4:2006,152,8.03694008800201,8.0,Cotton Storage,324.0,"Australia,New Zealand",Approved,139333,7.129,0.0,ACD0557,Condenser,599.0,139333,2026-06-22,,Single product class,Available,,,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_8_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-8.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,ELECTROLUX,6,Yes,Autosensing,Thailand,-,-,EWW1042R7WB,,AS/NZS 2442.1:1996/Amdt 4:2006,229,3.0202531498365084,3.0,"Cottons Mode Dry, Dryness level Extra",285.0,"Australia,Fiji,New Zealand",Approved,139588,4.803,55.4,ACD0560,Condenser,-,139588,2026-07-01,,Single product class,Available,,http://www.electrolux.com.au,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,AEG,5,Yes,Autosensing,Italy,-,-,LWX9A9613C,,AS/NZS 2442.1:1996/Amdt 4:2006,99,7.0584325708662305,7.0,Cottons Eco Extra Dry,302.0,"Australia,New Zealand",Approved,140054,3.957,1.0,ACD0564,Condenser,-,140054,2026-07-28,,Single product class,Available,,http://www.aeg.com,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_7_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-7.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,Haier,6,No,Autosensing,China,-,-,HDV60A1,,AS/NZS 2442.1:1996/Amdt 4:2006,270,2.00683301500606,2.0,"normal dry, auto",194.9,"Australia,New Zealand",Approved,140055,4.856,0.0,ACD0561,Vented,-,140055,2026-08-10,,Single product class,Available,,http://www.haier.com/,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,EURO,4.5,Yes,Autosensing,Türkiye,582.0,845.0,EFWD845W,,AS/NZS 2442.1:1996/Amdt 4:2006,173,2.9756327267403817,2.5,"Cotton Dry, Cupboard",260.0,"Australia,Fiji,New Zealand",Approved,140115,3.619,42.6,ACD0562,Condenser,597.0,140115,2026-07-16,,Single product class,Available,http://www.euroappliances.com.au/,http://www.euroappliances.com.au,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2.5_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.5.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,Anko,4.5,No,Timer,China,435.0,700.0,AVDE45G,AVDE45 Series,AS/NZS 2442.1:1996/Amdt 4:2006,202,2.0220447146710088,2.0,Timer set to 200,200.0,"Australia,Fiji,New Zealand",Approved,140223,3.529,-,ACD0563,Vented,600.0,140223,2026-07-26,,Single product class,Available,,,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,Anko,4.5,No,Timer,China,435.0,700.0,AVDE45SL,AVDE45 Series,AS/NZS 2442.1:1996/Amdt 4:2006,202,2.0220447146710088,2.0,Timer set to 200,200.0,"Australia,Fiji,New Zealand",Approved,140223,3.529,-,ACD0563,Vented,600.0,140223,2026-07-26,,Single product class,Available,,,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,Anko,4.5,No,Timer,China,435.0,700.0,AVDE45C,AVDE45 Series,AS/NZS 2442.1:1996/Amdt 4:2006,202,2.0220447146710088,2.0,Timer set to 200,200.0,"Australia,Fiji,New Zealand",Approved,140223,3.529,-,ACD0563,Vented,600.0,140223,2026-07-26,,Single product class,Available,,,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
Greenhouse and Energy Minimum Standards (Rotary Clothes Dryers) Determination 2024,Anko,4.5,No,Timer,China,435.0,700.0,AVDE45W,AVDE45 Series,AS/NZS 2442.1:1996/Amdt 4:2006,202,2.0220447146710088,2.0,Timer set to 200,200.0,"Australia,Fiji,New Zealand",Approved,140223,3.529,-,ACD0563,Vented,600.0,140223,2026-07-26,,Single product class,Available,,,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png
